xR,xEGF,xRa,xR2,xRP,xPLCg,xRPL,xRPLP,xPLCgP,xGrb,xRG,xSOS,xRGS,xGS,xShc,xRSh,xRShP,xShP,xRShG,xShG,xRShGS,xShGS,xPLCgPl
-0.60435945,-0.6043592,-14.449017,-19.840118,-1.6082113,3.1997342,26.495117,15.743955,1.7889907,3.8109975,-2.986181,0.9292177,-0.91420585,-0.3888529,0.110396266,-0.009757833,-0.07388593,-0.54809046,-0.012410032,0.11688748,0.0077893,0.36624545,-47.286865
-0.60844296,-0.60844266,-14.407294,-19.711514,-1.5866014,3.2483802,26.188503,15.9486,1.8021835,3.7824094,-2.9956384,0.90931034,-0.9136149,-0.3393733,0.10427968,-0.0003523341,-0.06741096,-0.55431587,-0.008604757,0.13116887,0.00529683,0.33859628,-47.248
-0.6149817,-0.6149815,-14.231894,-19.67474,-1.5431957,3.2952409,25.888046,16.153393,1.8788235,3.7639632,-2.9943326,0.9122482,-0.9151624,-0.27561757,0.10418836,0.007027851,-0.07308159,-0.51384443,-0.0027583693,0.14537731,0.0050387043,0.27372432,-47.277023
-0.5763701,-0.5763699,-14.232275,-19.555075,-1.5084051,3.3382816,25.600445,16.35246,1.8747362,3.7501404,-2.9916346,0.9261048,-0.90856904,-0.28480545,0.10265167,0.0065301517,-0.06474189,-0.527651,-0.009764808,0.177379,0.004007275,0.2635026,-47.227795
-0.5562953,-0.55629504,-14.201856,-19.348028,-1.5604608,3.3834453,25.31008,16.54579,1.904415,3.7128234,-2.9912176,0.8992119,-0.9176961,-0.28265387,0.10088389,0.0091588255,-0.042772982,-0.5915556,-0.010704644,0.18830241,0.0022877664,0.2991027,-47.20353
-0.55186236,-0.5518621,-14.133287,-19.20449,-1.4875051,3.4221716,25.021639,16.747782,1.9314878,3.7388792,-3.004106,0.8865981,-0.91618985,-0.27416414,0.10103218,0.000582202,-0.035126768,-0.5631009,-0.01569907,0.16746448,-0.002416993,0.306437,-47.18372
-0.5562198,-0.5562196,-14.055038,-19.0693,-1.4141982,3.4637885,24.736124,16.94482,1.9286624,3.7607603,-3.0015643,0.87206805,-0.9108592,-0.27344918,0.09957337,0.005093716,-0.03746834,-0.5401124,-0.014198596,0.126953,-0.004751911,0.31727323,-47.136047
-0.5491563,-0.5491561,-14.020069,-18.727367,-1.5988442,3.5032544,24.456144,17.142097,1.9772425,3.7792025,-3.0025048,0.88312215,-0.9117808,-0.30877098,0.10262638,0.00835457,-0.0383188,-0.560234,-0.018768175,0.12501144,-0.0008524123,0.3385776,-47.14792
-0.53165805,-0.5316578,-14.018039,-18.577381,-1.4731619,3.5443673,24.177849,17.320683,1.993629,3.8038368,-2.991522,0.85893476,-0.9211559,-0.29303893,0.10898698,-0.001364718,-0.03346705,-0.5239358,-0.0095523605,0.055975102,0.0021886618,0.3533734,-47.107315
-0.50910026,-0.5091,-14.060135,-18.382946,-1.4399953,3.5840006,23.90503,17.49277,2.0113244,3.8525012,-2.9979312,0.8264457,-0.9206813,-0.27569008,0.101778634,0.00045761408,-0.038994357,-0.45306787,-0.016017351,-0.012357268,0.008341126,0.36190552,-47.063572
-0.5036555,-0.50365525,-13.895144,-18.279339,-1.4429424,3.6244323,23.638367,17.666561,2.0398388,3.8601887,-3.0023026,0.798933,-0.9214659,-0.27169162,0.1141814,-0.026921187,-0.02612922,-0.4460588,-0.013416616,-0.0458076,0.008027943,0.3865173,-47.04009
-0.5055336,-0.50553334,-13.781909,-18.20203,-1.3917315,3.6613233,23.371387,17.844248,2.0216508,3.896381,-2.999612,0.76976764,-0.9196703,-0.2702134,0.11496442,-0.03795299,-0.022111418,-0.40738103,-0.011875012,-0.115450375,0.0049931407,0.41541764,-46.969406
-0.48709422,-0.48709399,-13.783335,-18.065365,-1.318358,3.7022285,23.101772,18.02213,2.055932,3.885298,-2.9903908,0.7500198,-0.925527,-0.26954332,0.10304705,-0.022429414,-0.039757475,-0.40462577,-0.012569765,-0.13255394,0.0013908476,0.44393092,-46.95719
-0.48312902,-0.4831288,-13.751621,-18.010805,-1.1674329,3.7453513,22.836773,18.181744,2.073391,3.8463025,-2.9832988,0.7240972,-0.9325446,-0.2442441,0.09968621,-0.020538846,-0.039491065,-0.41749233,-0.028312312,-0.11072033,0.0029255245,0.4500529,-46.910606
-0.49952227,-0.49952203,-13.697118,-17.842327,-1.1751877,3.7815905,22.581427,18.343428,2.1025212,3.8400397,-2.983027,0.7070041,-0.93588555,-0.20383868,0.10530872,-0.0150350705,-0.04336218,-0.40217832,-0.026889548,-0.1231526,-0.0013091268,0.43433228,-46.8817
-0.4898268,-0.48982656,-13.687129,-17.621548,-1.2628686,3.8210082,22.32191,18.511103,2.1089144,3.8075974,-2.96529,0.7109963,-0.93628615,-0.21740146,0.09879242,-0.015033998,-0.05193097,-0.42005342,-0.035993695,-0.09532939,0.00077110855,0.44223905,-46.83587
-0.5142662,-0.51426595,-13.506362,-17.538233,-1.1859249,3.85877,22.069294,18.669682,2.1173317,3.8085594,-2.9725387,0.6836685,-0.9309137,-0.20665783,0.09960802,-0.012036003,-0.05458967,-0.4092459,-0.047845468,-0.104491025,0.0019404734,0.4523033,-46.78834
-0.53051615,-0.5305159,-13.3970995,-17.351114,-1.2785195,3.8927782,21.82324,18.82801,2.1462448,3.8021216,-2.9875736,0.672802,-0.93070287,-0.20099106,0.10044732,-0.0030023272,-0.051102556,-0.43621862,-0.05558627,-0.086092114,-0.0017510743,0.4609689,-46.763866
-0.5118785,-0.5118782,-13.308205,-17.293823,-1.1632532,3.9294767,21.579962,18.977737,2.2026272,3.8029063,-2.9822292,0.6779073,-0.9319337,-0.20032254,0.104197696,-0.021768207,-0.029288733,-0.43150312,-0.05315195,-0.08956948,-0.0036140503,0.45830357,-46.760605
-0.5012722,-0.50127196,-13.2785635,-17.20496,-1.0960603,3.96682,21.329428,19.1413,2.2343354,3.7819371,-2.9775176,0.65991086,-0.93438554,-0.18131024,0.112246245,-0.028992694,-0.03376308,-0.4326831,-0.03548315,-0.1089815,-0.010769252,0.46690768,-46.744698
